TM SOLVERS:

========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
link            | few_ev     | 20.1050 (1 TO)       | MEM_OUT             
link            | much_ev    | 0.1784               | MEM_OUT                      
link            | max_tree   | T/O                  | MEM_OUT  
pathfinder      | no_ev      | 0.5789               | 0.0012              
pathfinder      | few_ev     | 1.8645               | 0.1922 (4 MO)       
pathfinder      | much_ev    | 1.1479               | MEM_OUT             
pathfinder      | max_tree   | 0.8164               | MEM_OUT             
munin2          | no_ev      | 0.0352               | 0.0013              
munin2          | few_ev     | 9.5760               | MEM_OUT             
munin2          | much_ev    | 0.5541               | MEM_OUT             
munin2          | max_tree   | T/O                  | MEM_OUT             
munin           | no_ev      | 0.0876               | 0.0029              
munin           | few_ev     | 1.8244               | MEM_OUT             
munin           | much_ev    | 0.7004               | MEM_OUT             
munin           | max_tree   | T/O                  | MEM_OUT      


MPE SOLVERS:
================================================================================
Model           | Tier       | RC2 (PySAT) (s)      | UWrMaxSat (C++) (s) 
--------------------------------------------------------------------------------
asia            | no_ev      | 0.0025               | 0.0189              
asia            | few_ev     | 0.0023               | 0.0188              
asia            | much_ev    | 0.0021               | 0.0199              
cancer          | no_ev      | 0.0020               | 0.0206              
cancer          | few_ev     | 0.0021               | 0.0212              
cancer          | much_ev    | 0.0020               | 0.0223              
sachs           | no_ev      | 0.0113               | 0.0419              
sachs           | few_ev     | 0.0115               | 0.0382              
sachs           | much_ev    | 0.0063               | 0.0337              
alarm           | no_ev      | 0.0168               | 0.0560              
alarm           | few_ev     | 0.0172               | 0.0511              
alarm           | much_ev    | 0.2526               | 0.0443              
child           | no_ev      | 0.0188               | 0.0483              
child           | few_ev     | 0.0099               | 0.0401              
child           | much_ev    | 0.0088               | 0.0372              
water           | no_ev      | 2.1294               | 0.3541              
water           | few_ev     | 0.1998               | 0.2823              
water           | much_ev    | 0.1862               | 0.2306 
barley          | no_ev      | MEM_OUT              | T/O                 
barley          | few_ev     | MEM_OUT              | T/O                 
barley          | much_ev    | MEM_OUT              | 8.2810 
hailfinder      | no_ev      | MEM_OUT              | 0.7989              
hailfinder      | few_ev     | MEM_OUT              | 0.8398              
hailfinder      | much_ev    | MEM_OUT              | 0.1358              
win95pts        | no_ev      | 0.0188               | 0.0535              
win95pts        | few_ev     | 0.0193               | 0.0458              
win95pts        | much_ev    | 0.0183               | 0.0444              
andes           | no_ev      | 0.3299               | 0.2000              
andes           | few_ev     | 0.3284               | 0.2102              
andes           | much_ev    | 0.0553               | 0.1206              
link            | no_ev      | 0.2330               | 0.3680              
link            | few_ev     | 0.1843               | 0.4715              
link            | much_ev    | 0.2152               | 0.2557              
pathfinder      | no_ev      | 10.7642              | 298.5210            
